ID_CONTINUO,LONGITUD,LATITUD
1,-180,-90
2,-179,-90
3,-178,-90
4,-177,-90
5,-176,-90
6,-175,-90
7,-174,-90
8,-173,-90
9,-172,-90
10,-171,-90
11,-170,-90
12,-169,-90
13,-168,-90
14,-167,-90
15,-166,-90
16,-165,-90
17,-164,-90
18,-163,-90
19,-162,-90
20,-161,-90
21,-160,-90
22,-159,-90
23,-158,-90
24,-157,-90
25,-156,-90
26,-155,-90
27,-154,-90
28,-153,-90
29,-152,-90
30,-151,-90
31,-150,-90
32,-149,-90
33,-148,-90
34,-147,-90
35,-146,-90
36,-145,-90
37,-144,-90
38,-143,-90
39,-142,-90
40,-141,-90
41,-140,-90
42,-139,-90
43,-138,-90
44,-137,-90
45,-136,-90
46,-135,-90
47,-134,-90
48,-133,-90
49,-132,-90
50,-131,-90
51,-130,-90
52,-129,-90
53,-128,-90
54,-127,-90
55,-126,-90
56,-125,-90
57,-124,-90
58,-123,-90
59,-122,-90
60,-121,-90
61,-120,-90
62,-119,-90
63,-118,-90
64,-117,-90
65,-116,-90
66,-115,-90
67,-114,-90
68,-113,-90
69,-112,-90
70,-111,-90
71,-110,-90
72,-109,-90
73,-108,-90
74,-107,-90
75,-106,-90
76,-105,-90
77,-104,-90
78,-103,-90
79,-102,-90
80,-101,-90
81,-100,-90
82,-99,-90
83,-98,-90
84,-97,-90
85,-96,-90
86,-95,-90
87,-94,-90
88,-93,-90
89,-92,-90
90,-91,-90
91,-90,-90
92,-89,-90
93,-88,-90
94,-87,-90
95,-86,-90
96,-85,-90
97,-84,-90
98,-83,-90
99,-82,-90
100,-81,-90
101,-80,-90
102,-79,-90
103,-78,-90
104,-77,-90
105,-76,-90
106,-75,-90
107,-74,-90
108,-73,-90
109,-72,-90
110,-71,-90
111,-70,-90
112,-69,-90
113,-68,-90
114,-67,-90
115,-66,-90
116,-65,-90
117,-64,-90
118,-63,-90
119,-62,-90
120,-61,-90
121,-60,-90
122,-59,-90
123,-58,-90
124,-57,-90
125,-56,-90
126,-55,-90
127,-54,-90
128,-53,-90
129,-52,-90
130,-51,-90
131,-50,-90
132,-49,-90
133,-48,-90
134,-47,-90
135,-46,-90
136,-45,-90
137,-44,-90
138,-43,-90
139,-42,-90
140,-41,-90
141,-40,-90
142,-39,-90
143,-38,-90
144,-37,-90
145,-36,-90
146,-35,-90
147,-34,-90
148,-33,-90
149,-32,-90
150,-31,-90
151,-30,-90
152,-29,-90
153,-28,-90
154,-27,-90
155,-26,-90
156,-25,-90
157,-24,-90
158,-23,-90
159,-22,-90
160,-21,-90
161,-20,-90
162,-19,-90
163,-18,-90
164,-17,-90
165,-16,-90
166,-15,-90
167,-14,-90
168,-13,-90
169,-12,-90
170,-11,-90
171,-10,-90
172,-9,-90
173,-8,-90
174,-7,-90
175,-6,-90
176,-5,-90
177,-4,-90
178,-3,-90
179,-2,-90
180,-1,-90
181,0,-90
182,1,-90
183,2,-90
184,3,-90
185,4,-90
186,5,-90
187,6,-90
188,7,-90
189,8,-90
190,9,-90
191,10,-90
192,11,-90
193,12,-90
194,13,-90
195,14,-90
196,15,-90
197,16,-90
198,17,-90
199,18,-90
200,19,-90
201,20,-90
202,21,-90
203,22,-90
204,23,-90
205,24,-90
206,25,-90
207,26,-90
208,27,-90
209,28,-90
210,29,-90
211,30,-90
212,31,-90
213,32,-90
214,33,-90
215,34,-90
216,35,-90
217,36,-90
218,37,-90
219,38,-90
220,39,-90
221,40,-90
222,41,-90
223,42,-90
224,43,-90
225,44,-90
226,45,-90
227,46,-90
228,47,-90
229,48,-90
230,49,-90
231,50,-90
232,51,-90
233,52,-90
234,53,-90
235,54,-90
236,55,-90
237,56,-90
238,57,-90
239,58,-90
240,59,-90
241,60,-90
242,61,-90
243,62,-90
244,63,-90
245,64,-90
246,65,-90
247,66,-90
248,67,-90
249,68,-90
250,69,-90
251,70,-90
252,71,-90
253,72,-90
254,73,-90
255,74,-90
256,75,-90
257,76,-90
258,77,-90
259,78,-90
260,79,-90
261,80,-90
262,81,-90
263,82,-90
264,83,-90
265,84,-90
266,85,-90
267,86,-90
268,87,-90
269,88,-90
270,89,-90
271,90,-90
272,91,-90
273,92,-90
274,93,-90
275,94,-90
276,95,-90
277,96,-90
278,97,-90
279,98,-90
280,99,-90
281,100,-90
282,101,-90
283,102,-90
284,103,-90
285,104,-90
286,105,-90
287,106,-90
288,107,-90
289,108,-90
290,109,-90
291,110,-90
292,111,-90
293,112,-90
294,113,-90
295,114,-90
296,115,-90
297,116,-90
298,117,-90
299,118,-90
300,119,-90
301,120,-90
302,121,-90
303,122,-90
304,123,-90
305,124,-90
306,125,-90
307,126,-90
308,127,-90
309,128,-90
310,129,-90
311,130,-90
312,131,-90
313,132,-90
314,133,-90
315,134,-90
316,135,-90
317,136,-90
318,137,-90
319,138,-90
320,139,-90
321,140,-90
322,141,-90
323,142,-90
324,143,-90
325,144,-90
326,145,-90
327,146,-90
328,147,-90
329,148,-90
330,149,-90
331,150,-90
332,151,-90
333,152,-90
334,153,-90
335,154,-90
336,155,-90
337,156,-90
338,157,-90
339,158,-90
340,159,-90
341,160,-90
342,161,-90
343,162,-90
344,163,-90
345,164,-90
346,165,-90
347,166,-90
348,167,-90
349,168,-90
350,169,-90
351,170,-90
352,171,-90
353,172,-90
354,173,-90
355,174,-90
356,175,-90
357,176,-90
358,177,-90
359,178,-90
360,179,-90
361,180,-90
362,-180,-75
363,-179,-75
364,-178,-75
365,-177,-75
366,-176,-75
367,-175,-75
368,-174,-75
369,-173,-75
370,-172,-75
371,-171,-75
372,-170,-75
373,-169,-75
374,-168,-75
375,-167,-75
376,-166,-75
377,-165,-75
378,-164,-75
379,-163,-75
380,-162,-75
381,-161,-75
382,-160,-75
383,-159,-75
384,-158,-75
385,-157,-75
386,-156,-75
387,-155,-75
388,-154,-75
389,-153,-75
390,-152,-75
391,-151,-75
392,-150,-75
393,-149,-75
394,-148,-75
395,-147,-75
396,-146,-75
397,-145,-75
398,-144,-75
399,-143,-75
400,-142,-75
401,-141,-75
402,-140,-75
403,-139,-75
404,-138,-75
405,-137,-75
406,-136,-75
407,-135,-75
408,-134,-75
409,-133,-75
410,-132,-75
411,-131,-75
412,-130,-75
413,-129,-75
414,-128,-75
415,-127,-75
416,-126,-75
417,-125,-75
418,-124,-75
419,-123,-75
420,-122,-75
421,-121,-75
422,-120,-75
423,-119,-75
424,-118,-75
425,-117,-75
426,-116,-75
427,-115,-75
428,-114,-75
429,-113,-75
430,-112,-75
431,-111,-75
432,-110,-75
433,-109,-75
434,-108,-75
435,-107,-75
436,-106,-75
437,-105,-75
438,-104,-75
439,-103,-75
440,-102,-75
441,-101,-75
442,-100,-75
443,-99,-75
444,-98,-75
445,-97,-75
446,-96,-75
447,-95,-75
448,-94,-75
449,-93,-75
450,-92,-75
451,-91,-75
452,-90,-75
453,-89,-75
454,-88,-75
455,-87,-75
456,-86,-75
457,-85,-75
458,-84,-75
459,-83,-75
460,-82,-75
461,-81,-75
462,-80,-75
463,-79,-75
464,-78,-75
465,-77,-75
466,-76,-75
467,-75,-75
468,-74,-75
469,-73,-75
470,-72,-75
471,-71,-75
472,-70,-75
473,-69,-75
474,-68,-75
475,-67,-75
476,-66,-75
477,-65,-75
478,-64,-75
479,-63,-75
480,-62,-75
481,-61,-75
482,-60,-75
483,-59,-75
484,-58,-75
485,-57,-75
486,-56,-75
487,-55,-75
488,-54,-75
489,-53,-75
490,-52,-75
491,-51,-75
492,-50,-75
493,-49,-75
494,-48,-75
495,-47,-75
496,-46,-75
497,-45,-75
498,-44,-75
499,-43,-75
500,-42,-75
501,-41,-75
502,-40,-75
503,-39,-75
504,-38,-75
505,-37,-75
506,-36,-75
507,-35,-75
508,-34,-75
509,-33,-75
510,-32,-75
511,-31,-75
512,-30,-75
513,-29,-75
514,-28,-75
515,-27,-75
516,-26,-75
517,-25,-75
518,-24,-75
519,-23,-75
520,-22,-75
521,-21,-75
522,-20,-75
523,-19,-75
524,-18,-75
525,-17,-75
526,-16,-75
527,-15,-75
528,-14,-75
529,-13,-75
530,-12,-75
531,-11,-75
532,-10,-75
533,-9,-75
534,-8,-75
535,-7,-75
536,-6,-75
537,-5,-75
538,-4,-75
539,-3,-75
540,-2,-75
541,-1,-75
542,0,-75
543,1,-75
544,2,-75
545,3,-75
546,4,-75
547,5,-75
548,6,-75
549,7,-75
550,8,-75
551,9,-75
552,10,-75
553,11,-75
554,12,-75
555,13,-75
556,14,-75
557,15,-75
558,16,-75
559,17,-75
560,18,-75
561,19,-75
562,20,-75
563,21,-75
564,22,-75
565,23,-75
566,24,-75
567,25,-75
568,26,-75
569,27,-75
570,28,-75
571,29,-75
572,30,-75
573,31,-75
574,32,-75
575,33,-75
576,34,-75
577,35,-75
578,36,-75
