ID_CONTINUO,LONGITUD,LATITUD
1,-180,-90
362,-180,-75
372,-170,-75
382,-160,-75
392,-150,-75
402,-140,-75
412,-130,-75
422,-120,-75
432,-110,-75
442,-100,-75
452,-90,-75
462,-80,-75
472,-70,-75
482,-60,-75
492,-50,-75
502,-40,-75
512,-30,-75
522,-20,-75
532,-10,-75
542,0,-75
552,10,-75
562,20,-75
572,30,-75
582,40,-75
592,50,-75
602,60,-75
612,70,-75
622,80,-75
632,90,-75
642,100,-75
652,110,-75
662,120,-75
672,130,-75
682,140,-75
692,150,-75
702,160,-75
712,170,-75
722,180,-75
732,-180,-60
742,-170,-60
752,-160,-60
762,-150,-60
772,-140,-60
782,-130,-60
792,-120,-60
802,-110,-60
812,-100,-60
822,-90,-60
832,-80,-60
842,-70,-60
852,-60,-60
862,-50,-60
872,-40,-60
882,-30,-60
892,-20,-60
902,-10,-60
912,0,-60
922,10,-60
932,20,-60
942,30,-60
952,40,-60
962,50,-60
972,60,-60
982,70,-60
992,80,-60
1002,90,-60
1012,100,-60
1022,110,-60
1032,120,-60
1042,130,-60
1052,140,-60
1062,150,-60
1072,160,-60
1082,170,-60
1092,180,-60
1093,-180,90
1094,-180,75
1095,-170,75
1096,-160,75
1097,-150,75
1098,-140,75
1099,-130,75
2000,-120,75
2001,-110,75
2002,-100,75
2003,-90,75
2004,-80,75
2005,-70,75
2006,-60,75
2007,-50,75
2008,-40,75
2009,-30,75
2010,-20,75
2011,-10,75
2012,0,75
2013,10,75
2014,20,75
2015,30,75
2016,40,75
2017,50,75
2018,60,75
2019,70,75
2020,80,75
2021,90,75
2022,100,75
2023,110,75
2024,120,75
2025,130,75
2026,140,75
2027,150,75
2028,160,75
2029,170,75
2030,180,75
2031,-180,60
2032,-170,60
2033,-160,60
2034,-150,60
2035,-140,60
2036,-130,60
2037,-120,60
2038,-110,60
2039,-100,60
2040,-90,60
2041,-80,60
2042,-70,60
2043,-60,60
2044,-50,60
2045,-40,60
2046,-30,60
2047,-20,60
2048,-10,60
2049,0,60
2050,10,60
2051,20,60
2052,30,60
2053,40,60
2054,50,60
2055,60,60
2056,70,60
2057,80,60
2058,90,60
2059,100,60
2060,110,60
2061,120,60
2062,130,60
2063,140,60
2064,150,60
2065,160,60
2066,170,60
2067,180,60
